Column1,Column2,Column3,Column4,Column5
Generated on: 2025-06-18,,,,
Course Code,Faculty Initial,Section,Seats,Time
CSE103,MI,4,23/25,MW 11:50 AM - 01:20 PM
CSE103,DAHF,5,25/25,R 01:30 PM - 03:00 PM
CSE103,DAHF,5,25/25,R 04:50 PM - 07:50 PM
CSE103,DAHF,5,25/25,T 01:30 PM - 03:00 PM
CSE103,DAHF,6,20/25,T 04:50 PM - 07:50 PM
CSE103,DAHF,6,20/25,R 11:50 AM - 01:20 PM
CSE103,DAHF,6,20/25,S 11:50 AM - 01:20 PM
CSE103,MRJ,7,25/25,T 01:30 PM - 04:30 PM
CSE103,MRJ,7,25/25,MW 01:30 PM - 03:00 PM
CSE103,RIFAT,8,25/25,TR 01:30 PM - 03:00 PM
CSE103,RIFAT,8,25/25,M 10:10 AM - 01:10 PM
CSE103,NISHAT,9,25/25,W 10:10 AM - 01:10 PM
CSE103,NISHAT,9,25/25,S 01:30 PM - 03:00 PM
CSE103,NISHAT,9,25/25,R 01:30 PM - 03:00 PM
CSE103,FZRN,10,7/25,R 10:10 AM - 01:10 PM
CSE103,FZRN,10,7/25,SR 04:50 PM - 06:20 PM
CSE103,FZRN,11,11/25,W 10:10 AM - 01:10 PM
CSE103,FZRN,11,11/25,R 03:10 PM - 04:40 PM
CSE103,FZRN,11,11/25,S 03:10 PM - 04:40 PM
CSE103,PC,12,5/25,M 04:50 PM - 07:50 PM
CSE103,PC,12,5/25,T 08:30 AM - 10:00 AM
CSE103,PC,12,5/25,S 08:30 AM - 10:00 AM
CSE103,PC,13,25/25,T 01:30 PM - 04:30 PM
CSE103,PC,13,25/25,S 10:10 AM - 11:40 AM
CSE103,PC,13,25/25,T 10:10 AM - 11:40 AM
CSE103,SAJEEB,14,20/20,ST 01:30 PM - 03:00 PM
CSE103,SAJEEB,14,20/20,S 04:50 PM - 07:50 PM
CSE103,SAJEEB,15,7/20,T 04:50 PM - 07:50 PM
CSE103,SAJEEB,15,7/20,ST 03:10 PM - 04:40 PM
CSE103,KMMU,16,6/20,SR 01:30 PM - 03:00 PM
CSE103,KMMU,16,6/20,S 04:50 PM - 07:50 PM
CSE103,KMMU,17,14/20,R 04:50 PM - 07:50 PM
CSE103,KMMU,17,14/20,SR 03:10 PM - 04:40 PM
CSE103,MAHCY,18,20/20,MW 08:30 AM - 10:00 AM
CSE103,MAHCY,18,20/20,T 01:30 PM - 04:30 PM
CSE103,KMSK,19,6/25,T 08:30 AM - 10:00 AM
CSE103,KMSK,19,6/25,R 08:00 AM - 11:00 AM
CSE103,KMSK,19,6/25,S 08:30 AM - 10:00 AM
CSE103,MAMRD,20,0/25,T 04:50 PM - 07:50 PM
CSE103,MAMRD,20,0/25,S 03:10 PM - 04:40 PM
CSE103,MAMRD,20,0/25,R 03:10 PM - 04:40 PM
CSE103,TBA,21,0/0,S 08:00 AM - 10:00 AM
CSE103,TBA,21,0/0,S 04:50 PM - 06:20 PM
CSE103,TBA,21,0/0,R 04:50 PM - 06:20 PM
CSE103,TBA,22,0/0,R 08:30 AM - 10:00 AM
CSE103,TBA,22,0/0,T 08:30 AM - 10:00 AM
CSE103,TBA,22,0/0,S 08:00 AM - 10:00 AM
CSE103,TBA,23,0/0,SR 08:30 AM - 10:00 AM
CSE103,TBA,23,0/0,M 04:50 PM - 06:50 PM
CSE103,TBA,24,0/0,R 04:50 PM - 06:20 PM
CSE103,TBA,24,0/0,T 04:50 PM - 06:20 PM
CSE103,TBA,24,0/0,W 08:00 AM - 10:00 AM
CSE103,TBA,25,0/0,MW 03:10 PM - 04:40 PM
CSE103,TBA,25,0/0,R 08:00 AM - 11:00 AM
CSE106,TBA,1,35/35,ST 10:10 AM - 11:40 AM
CSE106,MIR,2,34/35,ST 01:30 PM - 03:00 PM
CSE106,TBA,3,34/35,MW 10:10 AM - 11:40 AM
CSE106,DSU,4,31/35,SR 03:10 PM - 04:40 PM
CSE106,DSU,5,13/35,MW 08:30 AM - 10:00 AM
CSE106,AASR,6,32/35,MW 01:30 PM - 03:00 PM
CSE106,AASR,7,31/35,MW 03:10 PM - 04:10 PM
CSE106,SDNA,8,35/35,MW 11:50 AM - 01:20 PM
CSE106,MMHR,9,34/35,T 08:30 AM - 10:00 AM
CSE106,MMHR,9,34/35,R 08:30 AM - 10:00 AM
CSE106,MMHR,10,35/35,R 11:50 AM - 01:20 PM
CSE106,MMHR,10,35/35,T 11:50 AM - 01:20 PM
CSE106,MIR,11,35/35,SR 11:50 AM - 01:20 PM
CSE106,MAHCY,12,18/35,SR 03:10 PM - 04:40 PM
CSE106,TBA,13,0/0,S 08:30 AM - 10:00 AM
CSE106,TBA,13,0/0,T 08:30 AM - 10:00 AM
CSE106,TBA,14,0/0,SR 08:30 AM - 10:00 AM
CSE106,TBA,15,0/0,ST 04:50 PM - 06:20 PM
CSE106,TBA,16,0/0,S 01:30 PM - 03:00 PM
CSE106,TBA,16,0/0,R 01:30 PM - 03:00 PM
CSE106,TBA,17,0/0,TR 04:50 PM - 06:20 PM
CSE106,TBA,18,0/0,S 08:30 AM - 10:00 AM
CSE106,TBA,18,0/0,R 08:30 AM - 10:00 AM
CSE106,TBA,19,0/0,SR 04:50 PM - 06:20 PM
CSE106,TBA,20,0/0,S 04:50 PM - 06:20 PM
CSE106,TBA,20,0/0,R 04:50 PM - 06:20 PM
CSE108,RIFAT,1,32/32,MW 04:50 PM - 06:20 PM
CSE108,RIFAT,1,32/32,R 10:10 AM - 12:10 PM
CSE108,RIFAT,2,32/32,S 10:10 AM - 12:10 PM
CSE108,RIFAT,2,32/32,SR 03:10 PM - 04:40 PM
CSE108,MAMRD,3,32/32,MW 04:50 PM - 06:20 PM
CSE108,MAMRD,3,32/32,R 04:50 PM - 06:50 PM
CSE110,DAKP,1,30/30,S 08:00 AM - 11:00 AM
CSE110,DAKP,1,30/30,MW 10:10 AM - 11:40 AM
