""
""
"East West University"
"Offered Courses (Summer-2026)    Updated (05/15/2026, 08:02:26 PM) by Toothless"
"Generated from https://ewucoursetracker.live/"
"Course","Sec","Faculty","Capacity","Timing","Room No"
"CSE","1011MAR","40/40W 10:10 AM - 11:40 AM","429"
"CSE","1011MAR","40/40M 10:10 AM - 11:40 AM","530 (C. Lab-2)"
"CSE","1012TBA","0/0S 08:30 AM - 10:00 AM","212"
"CSE","1012TBA","0/0T 08:30 AM - 10:00 AM","372 (SEIP Lab)"
"CSE","1013TBA","40/40T 10:10 AM - 11:40 AM","372 (SEIP Lab)"
"CSE","1013TBA","40/40S 10:10 AM - 11:40 AMFUB-104"
"CSE","1014MSHQ","40/40T 08:30 AM - 10:00 AMAB","2-201"
"CSE","1014MSHQ","40/40R 08:30 AM - 10:00 AM","372 (SEIP Lab)"
"CSE","1015DMZM","40/40T 03:10 PM - 04:40 PM","531"
"CSE","1015DMZM","40/40S 03:10 PM - 04:40 PM","241"
"CSE","1016DMZM","40/40T 04:50 PM - 06:20 PM","533 (C. Lab-3)"
"CSE","1016DMZM","40/40S 04:50 PM - 06:20 PM","372"
"CSE","1017AQUIB","40/40S 03:10 PM - 04:40 PM","217"
"CSE","1017AQUIB","40/40T 03:10 PM - 04:40 PM","372 (SEIP Lab)"
"CSE","1018AQUIB","40/40T 04:50 PM - 06:20 PM","372 (SEIP Lab)"
"CSE","1018AQUIB","40/40S 04:50 PM - 06:20 PM","221"
"CSE","1019TZE","40/40S 03:10 PM - 04:40 PMAB","2-301"
"CSE","1019TZE","40/40T 03:10 PM - 04:40 PM","435 (Virtual Reality and Augmented "
"Reality Lab)"
"CSE","10110TZE","40/40T 04:50 PM - 06:20 PM","534 (C. Lab-4)"
"CSE","10110TZE","40/40S 04:50 PM - 06:20 PMAB","2-301"
"CSE","10111TBA","0/0M 08:30 AM - 10:00 AMAB","2-201"
"CSE","10111TBA","0/0W 08:30 AM - 10:00 AM","534 (C. Lab-4)"
"CSE","10112TBA","0/0W 10:10 AM - 11:40 AMAB","2-301"
"CSE","10112TBA","0/0M 10:10 AM - 11:40 AM","450 (Networking Lab)"
""
"ewucoursetracker.live"
"Course","Sec","Faculty","Capacity","Timing","Room No"
"CSE","10113MIR","40/40S 10:10 AM - 11:40 AM","372 (SEIP Lab)"
"CSE","10113MIR","40/40R 10:10 AM - 11:40 AMAB","1-902"
"CSE","10114TBA","0/0W 08:30 AM - 10:00 AM","529 (C. Lab-1)"
"CSE","10114TBA","0/0M 08:30 AM - 10:00 AM","241"
"CSE","10115TBA","0/0M 10:10 AM - 11:40 AMFUB-501"
"CSE","10115TBA","0/0W 10:10 AM - 11:40 AM","372 (SEIP Lab)"
"CSE","10116AADNAN","41/41W 03:10 PM - 04:40 PMAB","2-601"
"CSE","10116AADNAN","41/41M 03:10 PM - 04:40 PM","533 (C. Lab-3)"
"CSE","10117TBA","3/40M 03:10 PM - 04:40 PMAB","2-702"
"CSE","10117TBA","3/40W 03:10 PM - 04:40 PM","372 (SEIP Lab)"
"CSE","10118TBA","0/0S 04:50 PM - 06:20 PMFUB-203"
"CSE","10118TBA","0/0R 04:50 PM - 06:20 PM","533 (C. Lab-3)"
"CSE","10119TBA","0/0R 08:30 AM - 10:00 AM","637 (Database Lab)"
"CSE","10119TBA","0/0S 08:30 AM - 10:00 AMAB","2-201"
"CSE","10120TBA","0/0S 04:50 PM - 06:20 PM","531"
"CSE","10120TBA","0/0R 04:50 PM - 06:20 PM","241"
"CSE","10121TBA","0/0R 08:30 AM - 10:00 AMAB","1-101"
"CSE","10121TBA","0/0S 08:30 AM - 10:00 AM","435 (Virtual Reality and Augmented "
"Reality Lab)"
"CSE","10122TBA","0/0S 08:30 AM - 10:00 AMAB","2-701"
"CSE","10122TBA","0/0R 08:30 AM - 10:00 AM","638 (Artificial Intelligence Lab)"
"CSE","10124TBA","0/0S 08:30 AM - 10:00 AM","372 (SEIP Lab)"
"CSE","10124TBA","0/0R 08:30 AM - 10:00 AMAB","2-202"
"CSE","1021KMSK","34/35W 04:50 PM - 06:20 PMAB","1-101"
"CSE","1021KMSK","34/35M 04:50 PM - 06:20 PM","372 (SEIP Lab)"
"CSE","1022MSHQ","33/35T 10:10 AM - 11:40 AM","531"
"CSE","1022MSHQ","33/35R 10:10 AM - 11:40 AMFUB-104"
"CSE","1031TJ","30/30MW 10:10 AM - 11:40 AM","221"
""
"ewucoursetracker.live"
"Course","Sec","Faculty","Capacity","Timing","Room No"
"CSE","1031TJ","30/30T 10:10 AM - 01:10 PM","630 (Software Engineering Lab)"
"CSE","1032TJ","30/30R 10:10 AM - 01:10 PM","630 (Software Engineering Lab)"
"CSE","1032TJ","30/30MW 11:50 AM - 01:20 PM","221"
"CSE","1033DAHF","30/30R 01:30 PM - 03:00 PM","429"
"CSE","1033DAHF","30/30R 04:50 PM - 07:50 PM","435 (Virtual Reality and Augmented "
"Reality Lab)"
"CSE","1033DAHF","30/30T 01:30 PM - 03:00 PMAB","2-402"
"CSE","1034DAHF","33/33S 11:50 AM - 01:20 PMFUB-203"
"CSE","1034DAHF","33/33M 01:30 PM - 04:30 PM","436 (Human-Computer Interaction "
"Lab)"
"CSE","1034DAHF","33/33R 11:50 AM - 01:20 PM","429"
"CSE","1035DHMAI","33/33MW 03:10 PM - 04:40 PMFUB-601"
"CSE","1035DHMAI","33/33S 04:50 PM - 07:50 PM","637 (Database Lab)"
"CSE","1036DMIM","33/33M 10:10 AM - 01:10 PM","638 (Artificial Intelligence Lab)"
"CSE","1036DMIM","33/33MW 08:30 AM - 10:00 AMFUB-401"
"CSE","1037MRJ","31/33T 01:30 PM - 04:30 PM","638 (Artificial Intelligence Lab)"
"CSE","1037MRJ","31/33SR 11:50 AM - 01:20 PMAB","2-501"
"CSE","1038PC","32/33MW 03:10 PM - 04:40 PMAB","2-402"
"CSE","1038PC","32/33R 01:30 PM - 04:30 PM","435 (Virtual Reality and Augmented "
"Reality Lab)"
"CSE","1039PC","30/30T 04:50 PM - 07:50 PM","436 (Human-Computer Interaction "
"Lab)"
"CSE","1039PC","30/30SR 10:10 AM - 11:40 AMFUB-603"
"CSE","10310MAHCY","29/30MW 08:30 AM - 10:00 AMAB","3-1001"
"CSE","10310MAHCY","29/30R 10:10 AM - 01:10 PM","227 (Competitive Programming Lab)"
"CSE","10311RIFAT","30/30M 10:10 AM - 01:10 PM","431 (Multi Media and Image "
"Processing Lab)"
"CSE","10311RIFAT","30/30ST 08:30 AM - 10:00 AMAB","3-301"
"CSE","10312NISHAT","30/30TR 04:50 PM - 06:20 PMAB","2-601"
"CSE","10312NISHAT","30/30W 04:50 PM - 07:50 PM","531"
"CSE","10313TBA","0/0S 04:50 PM - 07:50 PM","437 (Cyber Security Lab)"
"CSE","10313TBA","0/0ST 01:30 PM - 03:00 PMAB","2-301"
""
"ewucoursetracker.live"
"Course","Sec","Faculty","Capacity","Timing","Room No"
"CSE","10314TBA","30/30T 04:50 PM - 07:50 PM","435 (Virtual Reality and Augmented "
"Reality Lab)"
"CSE","10314TBA","30/30ST 03:10 PM - 04:40 PMAB","2-402"
"CSE","10315KMMU","30/30S 04:50 PM - 07:50 PM","436 (Human-Computer Interaction "
"Lab)"
"CSE","10315KMMU","30/30SR 01:30 PM - 03:00 PMAB","2-402"
"CSE","10316KMMU","30/30SR 03:10 PM - 04:40 PMAB","2-402"
"CSE","10316KMMU","30/30R 04:50 PM - 07:50 PM","431 (Multi Media and Image "
"Processing Lab)"
"CSE","10317KMSK","25/25ST 08:30 AM - 10:00 AMAB","1-101"
"CSE","10317KMSK","25/25R 04:50 PM - 07:50 PM","227 (Competitive Programming Lab)"
"CSE","10318MAMRD","20/20T 01:30 PM - 03:00 PMAB","1-101"
"CSE","10318MAMRD","20/20T 04:50 PM - 07:50 PM","227 (Competitive Programming Lab)"
"CSE","10318MAMRD","20/20R 01:30 PM - 03:00 PMAB","1-301"
"CSE","10319MIR","25/25SR 11:50 AM - 01:20 PMAB","1-101"
"CSE","10319MIR","25/25W 04:50 PM - 07:50 PM","431 (Multi Media and Image "
"Processing Lab)"
"CSE","10320TBA","0/0"
"CSE","10320TBA","0/0W 08:00 AM - 10:00 AM","431 (Multi Media and Image "
"Processing Lab)"
"CSE","10320TBA","0/0TR 10:10 AM - 11:40 AMAB","1-101"
"CSE","10321TBA","0/0MW 04:50 PM - 06:20 PMAB","2-402"
"CSE","10321TBA","0/0M 08:00 AM - 10:00 AM","436 (Human-Computer Interaction "
"Lab)"
"CSE","10322TBA","0/0S 08:00 AM - 11:00 AM","638 (Artificial Intelligence Lab)"
"CSE","10322TBA","0/0S 04:50 PM - 06:20 PMAB","1-301"
"CSE","10322TBA","0/0R 04:50 PM - 06:20 PM","226"
"CSE","10323TBA","0/0R 01:30 PM - 03:00 PMFUB-701"
"CSE","10323TBA","0/0T 01:30 PM - 03:00 PMAB","2-702"
"CSE","10323TBA","0/0T 10:10 AM - 01:10 PMThesis"
"CSE","1061MHAK","26/40ST 10:10 AM - 11:40 AM","433"
"CSE","1062MHAK","6/40ST 01:30 PM - 03:00 PM","433"
"CSE","1063MHAK","32/40MW 10:10 AM - 11:40 AM","433"
""
"ewucoursetracker.live"
"Course","Sec","Faculty","Capacity","Timing","Room No"
"CSE","1064DSU","14/40MW 03:10 PM - 04:40 PM","221"
"CSE","1065DSU","1/1TR 04:50 PM - 06:20 PM","221"
"CSE","1066NAFIS","40/40MW 08:30 AM - 10:00 AMAB","1-702"
"CSE","1067AASR","40/40MW 03:10 PM - 04:40 PMFUB-402"
"CSE","1068SDNA","40/40MW 03:10 PM - 04:40 PMFUB-504"
"CSE","1069MAHCY","40/40SR 03:10 PM - 04:40 PMAB","3-1001"
"CSE","10610TBA","0/0S 04:50 PM - 06:20 PMFUB-603"
"CSE","10610TBA","0/0R 04:50 PM - 06:20 PMFUB-702"
"CSE","10611TBA","0/0R 04:50 PM - 06:20 PMAB","3-501"
"CSE","10611TBA","0/0T 04:50 PM - 06:20 PMAB","3-701"
"CSE","10612TBA","0/0MW 08:30 AM - 10:00 AMAB","3-902"
"CSE","10613TBA","0/0T 04:50 PM - 06:20 PMAB","3-901"
"CSE","10613TBA","0/0R 04:50 PM - 06:20 PMAB","3-502"
"CSE","10614TBA","0/0T 04:50 PM - 06:20 PMAB","3-902"
"CSE","10614TBA","0/0S 04:50 PM - 06:20 PMFUB-604"
"CSE","10615TBA","0/0S 08:30 AM - 10:00 AMAB","3-1002"
"CSE","10615TBA","0/0R 08:30 AM - 10:00 AMAB","1-702"
"CSE","10616TBA","0/0R 08:30 AM - 10:00 AMAB","3-601"
"CSE","10616TBA","0/0S 08:30 AM - 10:00 AMFUB-801"
"CSE","10617TBA","0/0T 08:30 AM - 10:00 AMAB","2-601"
"CSE","10617TBA","0/0R 08:30 AM - 10:00 AMAB","3-1001"
"CSE","1081RIFAT","34/35MW 08:30 AM - 10:00 AMAB","3-301"
"CSE","1081RIFAT","34/35S 04:50 PM - 06:50 PM","450 (Networking Lab)"
"CSE","1082MAMRD","35/35S 10:10 AM - 12:10 PM","434 (Big Data Analytics Lab)"
"CSE","1082MAMRD","35/35SR 03:10 PM - 04:40 PMAB","1-101"
"CSE","1083MAMRD","32/35MW 04:50 PM - 06:20 PMAB","1-201"
"CSE","1083MAMRD","32/35S 08:00 AM - 10:00 AM","227 (Competitive Programming Lab)"
""
"ewucoursetracker.live"
"Course","Sec","Faculty","Capacity","Timing","Room No"
"CSE","1101DAKP","30/30S 08:00 AM - 11:00 AM","215 (General Purpose Programming "
"Lab)"
"CSE","1101DAKP","30/30MW 10:10 AM - 11:40 AMFUB-104"
"CSE","1102DAKP","30/30MW 11:50 AM - 01:20 PMFUB-104"
"CSE","1102DAKP","30/30S 11:50 AM - 02:50 PM","215 (General Purpose Programming "
"Lab)"
"CSE","1103DSU","30/30W 10:10 AM - 01:10 PM","227 (Competitive Programming Lab)"
"CSE","1103DSU","30/30TR 03:10 PM - 04:40 PM","221"
"CSE","1104MKR","30/30TR 08:30 AM - 10:00 AM","358"
"CSE","1104MKR","30/30M 10:10 AM - 01:10 PM","227 (Competitive Programming Lab)"
"CSE","1105TBA","0/0S 01:30 PM - 04:30 PMThesis"
"CSE","1105TBA","0/0MW 11:50 AM - 01:20 PMThesis"
"CSE","1106SAJID","30/30MW 04:50 PM - 06:20 PMAB","3-901"
"CSE","1106SAJID","30/30T 10:10 AM - 01:10 PM","227 (Competitive Programming Lab)"
"CSE","1107SDNA","30/30R 03:10 PM - 04:40 PMAB","2-201"
"CSE","1107SDNA","30/30S 04:50 PM - 07:50 PM","533 (C. Lab-3)"
