Course,Section,Faculty,Capacity,Timing
CSE101,1,MAR,0/30,W 10:10 AM - 11:40 AM
CSE101,1,MAR,0/30,M 10:10 AM - 11:40 AM
CSE101,2,AT,0/30,S 08:30 AM - 10:00 AM
CSE101,2,AT,0/30,T 08:30 AM - 10:00 AM
CSE101,3,AT,0/30,T 10:10 AM - 11:40 AM
CSE101,3,AT,0/30,S 10:10 AM - 11:40 AM
CSE101,4,MSHQ,0/30,T 08:30 AM - 10:00 AM
CSE101,4,MSHQ,0/30,R 08:30 AM - 10:00 AM
CSE101,5,DMZM,0/30,T 03:10 PM - 04:40 PM
CSE101,5,DMZM,0/30,S 03:10 PM - 04:40 PM
CSE101,6,DMZM,0/30,T 04:50 PM - 06:20 PM
CSE101,6,DMZM,0/30,S 04:50 PM - 06:20 PM
CSE101,7,AQUIB,0/30,S 03:10 PM - 04:40 PM
CSE101,7,AQUIB,0/30,T 03:10 PM - 04:40 PM
CSE101,8,AQUIB,0/30,T 04:50 PM - 06:20 PM
CSE101,8,AQUIB,0/30,S 04:50 PM - 06:20 PM
CSE101,9,TZE,0/30,S 03:10 PM - 04:40 PM
CSE101,9,TZE,0/30,T 03:10 PM - 04:40 PM
CSE101,10,TZE,0/30,T 04:50 PM - 06:20 PM
CSE101,10,TZE,0/30,S 04:50 PM - 06:20 PM
CSE101,11,DNMH,0/30,M 08:30 AM - 10:00 AM
CSE101,11,DNMH,0/30,W 08:30 AM - 10:00 AM
CSE101,12,DNMH,0/30,W 10:10 AM - 11:40 AM
CSE101,12,DNMH,0/30,M 10:10 AM - 11:40 AM
CSE101,13,MIR,0/30,S 10:10 AM - 11:40 AM
CSE101,13,MIR,0/30,R 10:10 AM - 11:40 AM
CSE101,14,DMEI,0/30,W 08:30 AM - 10:00 AM
CSE101,14,DMEI,0/30,M 08:30 AM - 10:00 AM
CSE101,15,DMEI,0/30,M 10:10 AM - 11:40 AM
CSE101,15,DMEI,0/30,W 10:10 AM - 11:40 AM
CSE101,16,AADNAN,0/30,W 03:10 PM - 04:40 PM
CSE101,16,AADNAN,0/30,M 03:10 PM - 04:40 PM
CSE101,17,TBA,0/30,S 08:30 AM - 10:00 AM
CSE101,17,TBA,0/30,R 08:30 AM - 10:00 AM
CSE101,18,TBA,0/30,S 04:50 PM - 06:20 PM
CSE101,18,TBA,0/30,R 04:50 PM - 06:20 PM
CSE101,19,TBA,0/30,R 08:30 AM - 10:00 AM
CSE101,19,TBA,0/30,S 08:30 AM - 10:00 AM
CSE101,20,TBA,0/30,S 04:50 PM - 06:20 PM
CSE101,20,TBA,0/30,R 04:50 PM - 06:20 PM
CSE101,21,TBA,0/30,R 08:30 AM - 10:00 AM
CSE101,21,TBA,0/30,S 08:30 AM - 10:00 AM
CSE101,22,TBA,0/30,S 08:30 AM - 10:00 AM
CSE101,22,TBA,0/30,R 08:30 AM - 10:00 AM
CSE102,1,KMSK,0/30,W 04:50 PM - 06:20 PM
CSE102,1,KMSK,0/30,M 04:50 PM - 06:20 PM
CSE102,2,MSHQ,0/30,T 10:10 AM - 11:40 AM
CSE102,2,MSHQ,0/30,R 10:10 AM - 11:40 AM
CSE103,1,TJ,0/30,MW 10:10 AM - 11:40 AM
CSE103,1,TJ,0/30,T 10:10 AM - 01:10 PM
CSE103,2,TJ,0/30,R 10:10 AM - 01:10 PM
CSE103,2,TJ,0/30,MW 11:50 AM - 01:20 PM
CSE103,3,DAHF,0/30,R 01:30 PM - 03:00 PM
CSE103,3,DAHF,0/30,R 04:50 PM - 07:50 PM
CSE103,3,DAHF,0/30,T 01:30 PM - 03:00 PM
CSE103,4,DAHF,0/30,S 11:50 AM - 01:20 PM
CSE103,4,DAHF,0/30,M 01:30 PM - 04:30 PM
CSE103,4,DAHF,0/30,R 11:50 AM - 01:20 PM
CSE103,5,DHMAI,0/30,MW 03:10 PM - 04:40 PM
CSE103,5,DHMAI,0/30,S 04:50 PM - 07:50 PM
CSE103,6,DMIM,0/30,M 10:10 AM - 01:10 PM
CSE103,6,DMIM,0/30,MW 08:30 AM - 10:00 AM
CSE103,7,MRJ,0/30,T 01:30 PM - 04:30 PM
CSE103,7,MRJ,0/30,SR 11:50 AM - 01:20 PM
CSE103,8,PC,0/30,MW 03:10 PM - 04:40 PM
CSE103,8,PC,0/30,R 01:30 PM - 04:30 PM
CSE103,9,PC,0/30,T 04:50 PM - 07:50 PM
CSE103,9,PC,0/30,SR 10:10 AM - 11:40 AM
CSE103,10,MAHCY,0/30,MW 08:30 AM - 10:00 AM
CSE103,10,MAHCY,0/30,R 10:10 AM - 01:10 PM
CSE103,11,RIFAT,0/30,M 10:10 AM - 01:10 PM
CSE103,11,RIFAT,0/30,ST 08:30 AM - 10:00 AM
CSE103,12,NISHAT,0/30,TR 04:50 PM - 06:20 PM
CSE103,12,NISHAT,0/30,W 08:00 AM - 10:00 AM
CSE103,13,SAJEEB,0/30,S 04:50 PM - 07:50 PM
CSE103,13,SAJEEB,0/30,ST 01:30 PM - 03:00 PM
CSE103,14,SAJEEB,0/30,T 04:50 PM - 07:50 PM
CSE103,14,SAJEEB,0/30,ST 03:10 PM - 04:40 PM
CSE103,15,KMMU,0/30,S 04:50 PM - 07:50 PM
CSE103,15,KMMU,0/30,SR 01:30 PM - 03:00 PM
CSE103,16,KMMU,0/30,SR 03:10 PM - 04:40 PM
CSE103,16,KMMU,0/30,R 04:50 PM - 07:50 PM
CSE103,17,KMSK,0/30,ST 08:30 AM - 10:00 AM
CSE103,17,KMSK,0/30,R 04:50 PM - 07:50 PM
CSE103,18,MAMRD,0/30,T 01:30 PM - 03:00 PM
CSE103,18,MAMRD,0/30,T 04:50 PM - 07:50 PM
CSE103,18,MAMRD,0/30,R 01:30 PM - 03:00 PM
CSE103,19,MIR,0/30,SR 11:50 AM - 01:20 PM
CSE103,19,MIR,0/30,W 04:50 PM - 07:50 PM
CSE103,20,TBA,0/30,R 03:10 PM - 04:40 PM
CSE103,20,TBA,0/30,W 08:00 AM - 10:00 AM
CSE103,20,TBA,0/30,S 03:10 PM - 04:40 PM
CSE103,21,TBA,0/30,MW 04:50 PM - 06:20 PM
CSE103,21,TBA,0/30,M 08:00 AM - 10:00 AM
CSE103,22,TBA,0/30,S 08:00 AM - 11:00 AM
CSE103,22,TBA,0/30,S 04:50 PM - 06:20 PM
CSE103,22,TBA,0/30,R 04:50 PM - 06:20 PM
CSE103,23,TBA,0/30,R 01:30 PM - 03:00 PM
CSE103,23,TBA,0/30,T 01:30 PM - 03:00 PM
CSE103,23,TBA,0/30,T 10:10 AM - 01:10 PM
CSE106,1,MHAK,0/40,ST 10:10 AM - 11:40 AM
CSE106,2,MHAK,0/40,ST 01:30 PM - 03:00 PM
CSE106,3,MHAK,0/40,MW 10:10 AM - 11:40 AM
CSE106,4,DSU,0/40,MW 03:10 PM - 04:40 PM
CSE106,5,DSU,0/40,TR 04:50 PM - 06:20 PM
CSE106,6,NAFIS,0/40,MW 08:30 AM - 10:00 AM
CSE106,7,AASR,0/40,MW 03:10 PM - 04:40 PM
CSE106,8,SDNA,0/40,MW 03:10 PM - 04:40 PM
CSE106,9,MAHCY,0/40,SR 03:10 PM - 04:40 PM
CSE106,10,TBA,0/40,S 04:50 PM - 06:20 PM
CSE106,10,TBA,0/40,R 04:50 PM - 06:20 PM
CSE106,11,TBA,0/40,R 04:50 PM - 06:20 PM
CSE106,11,TBA,0/40,T 04:50 PM - 06:20 PM
CSE106,12,TBA,0/40,MW 08:30 AM - 10:00 AM
