Course,Section,Faculty,Capacity,Timing
CSE101,1,MAR,8/30,W 10:10 AM - 11:40 AM
CSE101,1,MAR,8/30,M 10:10 AM - 11:40 AM
CSE101,2,TBA,0/0,S 08:30 AM - 10:00 AM
CSE101,2,TBA,0/0,T 08:30 AM - 10:00 AM
CSE101,3,TBA,0/0,T 10:10 AM - 11:40 AM
CSE101,3,TBA,0/0,S 10:10 AM - 11:40 AM
CSE101,4,MSHQ,2/30,T 08:30 AM - 10:00 AM
CSE101,4,MSHQ,2/30,R 08:30 AM - 10:00 AM
CSE101,5,DMZM,1/30,T 03:10 PM - 04:40 PM
CSE101,5,DMZM,1/30,S 03:10 PM - 04:40 PM
CSE101,6,DMZM,1/30,T 04:50 PM - 06:20 PM
CSE101,6,DMZM,1/30,S 04:50 PM - 06:20 PM
CSE101,7,AQUIB,0/30,S 03:10 PM - 04:40 PM
CSE101,7,AQUIB,0/30,T 03:10 PM - 04:40 PM
CSE101,8,AQUIB,1/30,T 04:50 PM - 06:20 PM
CSE101,8,AQUIB,1/30,S 04:50 PM - 06:20 PM
CSE101,9,TZE,4/30,S 03:10 PM - 04:40 PM
CSE101,9,TZE,4/30,T 03:10 PM - 04:40 PM
CSE101,10,TZE,1/30,T 04:50 PM - 06:20 PM
CSE101,10,TZE,1/30,S 04:50 PM - 06:20 PM
CSE101,11,TBA,0/0,M 08:30 AM - 10:00 AM
CSE101,11,TBA,0/0,W 08:30 AM - 10:00 AM
CSE101,12,TBA,0/0,W 10:10 AM - 11:40 AM
CSE101,12,TBA,0/0,M 10:10 AM - 11:40 AM
CSE101,13,MIR,0/30,S 10:10 AM - 11:40 AM
CSE101,13,MIR,0/30,R 10:10 AM - 11:40 AM
CSE101,14,TBA,0/0,W 08:30 AM - 10:00 AM
CSE101,14,TBA,0/0,M 08:30 AM - 10:00 AM
CSE101,15,TBA,0/0,M 10:10 AM - 11:40 AM
CSE101,15,TBA,0/0,W 10:10 AM - 11:40 AM
CSE101,16,AADNAN,0/30,W 03:10 PM - 04:40 PM
CSE101,16,AADNAN,0/30,M 03:10 PM - 04:40 PM
CSE101,17,TBA,0/0,S 08:30 AM - 10:00 AM
CSE101,17,TBA,0/0,R 08:30 AM - 10:00 AM
CSE101,18,TBA,0/0,S 04:50 PM - 06:20 PM
CSE101,18,TBA,0/0,R 04:50 PM - 06:20 PM
CSE101,19,TBA,0/0,R 08:30 AM - 10:00 AM
CSE101,19,TBA,0/0,S 08:30 AM - 10:00 AM
CSE101,20,TBA,0/0,S 04:50 PM - 06:20 PM
CSE101,20,TBA,0/0,R 04:50 PM - 06:20 PM
CSE101,21,TBA,0/0,R 08:30 AM - 10:00 AM
CSE101,21,TBA,0/0,S 08:30 AM - 10:00 AM
CSE101,22,TBA,0/0,S 08:30 AM - 10:00 AM
CSE101,22,TBA,0/0,R 08:30 AM - 10:00 AM
CSE102,1,KMSK,0/30,W 04:50 PM - 06:20 PM
CSE102,1,KMSK,0/30,M 04:50 PM - 06:20 PM
CSE102,2,MSHQ,0/30,T 10:10 AM - 11:40 AM
CSE102,2,MSHQ,0/30,R 10:10 AM - 11:40 AM
CSE103,1,TJ,0/0,MW 10:10 AM - 11:40 AM
