Course,Section,Faculty,Capacity,Timing
CSE101,1,MAR,40/40,M 10:10 AM - 11:40 AM
CSE101,1,MAR,40/40,W 10:10 AM - 11:40 AM
CSE101,2,AT,31/40,T 08:30 AM - 10:00 AM
CSE101,2,AT,31/40,S 08:30 AM - 10:00 AM
CSE101,3,AT,38/38,S 10:10 AM - 11:40 AM
CSE101,3,AT,38/38,T 10:10 AM - 11:40 AM
CSE101,4,MSHQ,36/36,R 08:30 AM - 10:00 AM
CSE101,4,MSHQ,36/36,T 08:30 AM - 10:00 AM
CSE101,5,MSHQ,36/36,T 10:10 AM - 11:40 AM
CSE101,5,MSHQ,36/36,R 10:10 AM - 11:40 AM
CSE101,6,DMZM,38/38,T 03:10 PM - 04:40 PM
CSE101,6,DMZM,38/38,S 03:10 PM - 04:40 PM
CSE101,7,DMZM,35/35,S 04:50 PM - 06:20 PM
CSE101,7,DMZM,35/35,T 04:50 PM - 06:20 PM
CSE101,8,AQUIB,38/38,T 03:10 PM - 04:40 PM
CSE101,8,AQUIB,38/38,S 03:10 PM - 04:40 PM
CSE101,9,AQUIB,36/36,S 04:50 PM - 06:20 PM
CSE101,9,AQUIB,36/36,T 04:50 PM - 06:20 PM
CSE101,10,TZE,40/40,T 03:10 PM - 04:40 PM
CSE101,10,TZE,40/40,S 03:10 PM - 04:40 PM
CSE101,11,TZE,36/36,S 04:50 PM - 06:20 PM
CSE101,11,TZE,36/36,T 04:50 PM - 06:20 PM
CSE101,12,DNMH,28/40,W 08:30 AM - 10:00 AM
CSE101,12,DNMH,28/40,M 08:30 AM - 10:00 AM
CSE101,13,DNMH,36/36,M 10:10 AM - 11:40 AM
CSE101,13,DNMH,36/36,W 10:10 AM - 11:40 AM
CSE101,14,ANTU,35/35,T 03:10 PM - 04:40 PM
CSE101,14,ANTU,35/35,S 03:10 PM - 04:40 PM
CSE101,15,DMEI,32/35,M 08:30 AM - 10:00 AM
CSE101,15,DMEI,32/35,W 08:30 AM - 10:00 AM
CSE101,16,PROMA,36/36,W 01:30 PM - 03:00 PM
CSE101,16,PROMA,36/36,M 01:30 PM - 03:00 PM
CSE101,17,AADNAN,37/37,W 03:10 PM - 04:40 PM
CSE101,17,AADNAN,37/37,M 03:10 PM - 04:40 PM
CSE101,18,DMEI,40/40,W 10:10 AM - 11:40 AM
CSE101,18,DMEI,40/40,M 10:10 AM - 11:40 AM
CSE101,19,SAJID,32/35,S 08:30 AM - 10:00 AM
CSE101,19,SAJID,32/35,T 08:30 AM - 10:00 AM
CSE101,20,KOUSHIK,29/30,R 10:10 AM - 11:40 AM
CSE101,20,KOUSHIK,29/30,S 10:10 AM - 11:40 AM
CSE101,21,RIFAT,30/30,S 08:30 AM - 10:00 AM
CSE101,21,RIFAT,30/30,T 08:30 AM - 10:00 AM
CSE101,22,TBA,0/0,R 10:10 AM - 11:40 AM
CSE101,22,TBA,0/0,S 10:10 AM - 11:40 AM
CSE101,23,TBA,0/0,R 08:30 AM - 10:00 AM
CSE101,23,TBA,0/0,S 08:30 AM - 10:00 AM
CSE101,24,TM,30/30,W 08:30 AM - 10:00 AM
CSE101,24,TM,30/30,M 08:30 AM - 10:00 AM
CSE101,25,TBA,0/0,S 04:50 PM - 06:20 PM
CSE101,25,TBA,0/0,R 04:50 PM - 06:20 PM
CSE101,26,TBA,0/0,R 04:50 PM - 06:20 PM
CSE101,26,TBA,0/0,T 04:50 PM - 06:20 PM
CSE101,27,AUR,26/30,M 04:50 PM - 06:20 PM
CSE101,27,AUR,26/30,W 04:50 PM - 06:20 PM
CSE102,1,KMSK,35/35,M 04:50 PM - 06:20 PM
CSE102,1,KMSK,35/35,W 04:50 PM - 06:20 PM
CSE103,1,TJ,20/25,MW 10:10 AM - 11:40 AM
CSE103,1,TJ,20/25,T 10:10 AM - 01:10 PM
CSE103,1,TJ,20/25,R 01:30 PM - 04:30 PM
CSE103,2,TJ,20/25,R 10:10 AM - 01:10 PM
CSE103,2,TJ,20/25,MW 11:50 AM - 01:20 PM
CSE103,2,TJ,20/25,T 01:30 PM - 04:30 PM
CSE103,3,DAHF,22/25,TR 01:30 PM - 03:00 PM
CSE103,3,DAHF,22/25,R 04:50 PM - 07:50 PM
CSE103,4,DAHF,22/25,M 01:30 PM - 04:30 PM
CSE103,4,DAHF,22/25,SR 11:50 AM - 01:20 PM
CSE103,5,DHMAI,19/25,MW 03:10 PM - 04:40 PM
CSE103,5,DHMAI,19/25,S 04:50 PM - 07:50 PM
CSE103,6,MAHCY,21/25,R 10:10 AM - 01:10 PM
CSE103,6,MAHCY,21/25,MW 08:30 AM - 10:00 AM
CSE103,7,TBA,0/0,TR 04:50 PM - 06:20 PM
CSE103,7,TBA,0/0,M 10:10 AM - 01:10 PM
CSE103,8,NISHAT,20/25,R 01:30 PM - 03:00 PM
CSE103,8,NISHAT,20/25,W 10:10 AM - 01:10 PM
CSE103,8,NISHAT,20/25,S 01:30 PM - 03:00 PM
CSE103,9,PC,20/25,MW 04:50 PM - 06:20 PM
CSE103,9,PC,20/25,R 01:30 PM - 04:30 PM
CSE103,10,PC,19/20,T 10:10 AM - 11:40 AM
CSE103,10,PC,19/20,T 04:50 PM - 07:50 PM
CSE103,10,PC,19/20,S 10:10 AM - 11:40 AM
CSE103,11,SAJEEB,0/0,ST 01:30 PM - 03:00 PM
CSE103,11,SAJEEB,0/0,S 04:50 PM - 07:50 PM
CSE103,12,SAJEEB,19/20,T 04:50 PM - 07:50 PM
CSE103,12,SAJEEB,19/20,ST 03:10 PM - 04:40 PM
CSE103,13,KMMU,11/20,S 04:50 PM - 07:50 PM
CSE103,13,KMMU,11/20,SR 01:30 PM - 03:00 PM
CSE103,14,KMMU,0/0,R 04:50 PM - 07:50 PM
CSE103,14,KMMU,0/0,SR 03:10 PM - 04:40 PM
CSE103,15,KMSK,20/20,S 08:30 AM - 10:00 AM
CSE103,15,KMSK,20/20,R 04:50 PM - 07:50 PM
CSE103,15,KMSK,20/20,T 08:30 AM - 10:00 AM
CSE103,16,TBA,0/0,T 04:50 PM - 07:50 PM
CSE103,16,TBA,0/0,S 03:10 PM - 04:40 PM
CSE103,16,TBA,0/0,R 03:10 PM - 04:40 PM
CSE103,17,TBA,0/0,SR 04:50 PM - 06:20 PM
CSE103,17,TBA,0/0,W 04:50 PM - 07:50 PM
CSE103,18,TBA,2/2,W 08:00 AM - 10:00 AM
CSE103,18,TBA,2/2,S 03:10 PM - 04:40 PM
CSE103,18,TBA,2/2,T 03:10 PM - 04:40 PM
CSE103,19,TBA,0/0,T 11:50 AM - 01:20 PM
CSE103,19,TBA,0/0,M 08:00 AM - 10:00 AM
CSE103,19,TBA,0/0,R 11:50 AM - 01:20 PM
CSE103,20,TBA,0/0,S 08:00 AM - 11:00 AM
CSE103,20,TBA,0/0,T 11:50 AM - 01:20 PM
CSE103,20,TBA,0/0,R 11:50 AM - 01:20 PM
